N_stages,feed_stage,feed_stage_ratio,reflux_ratio,z_feed_benzene,feed_temperature_K,feed_pressure_Pa,feed_quality_q,feed_vapor_fraction,xD_distillate_purity,xB_bottoms_purity,Qc_condenser_duty_kW,Qr_reboiler_duty_kW,bubble_point_T_K,relative_volatility
11,4,0.364,3.2792,0.2647,351.39,117531.0,0.6152,0.3848,0.55373,0.03147,1.689,2.065,300.0,2.9638
24,17,0.708,1.9259,0.1895,391.37,95622.0,0.5007,0.4993,0.79738,0.00856,0.582,1.292,450.0,1.9965
19,13,0.684,3.4214,0.3158,399.74,109424.0,0.8647,0.1353,0.64523,0.03406,1.789,2.284,450.0,1.9965
15,8,0.533,2.5195,0.1457,355.78,91101.0,0.9834,0.0166,0.38146,0.01711,1.112,1.708,450.0,1.9965
12,6,0.5,3.1186,0.5249,361.4,110218.0,0.6121,0.3879,0.65605,0.15305,2.67,2.907,450.0,1.9965
25,11,0.44,2.6317,0.8493,380.54,128561.0,0.8315,0.1685,0.98351,0.12284,2.619,2.506,300.0,2.9638
11,4,0.364,2.0368,0.1315,392.03,105368.0,0.8709,0.1291,0.37119,0.01485,0.891,1.51,450.0,1.9965
23,9,0.391,4.7835,0.1977,371.51,91560.0,0.9242,0.0758,0.75847,0.01034,1.26,1.95,450.0,1.9965
15,8,0.533,4.0071,0.4618,357.41,91238.0,0.7113,0.2887,0.61031,0.11663,3.08,3.355,450.0,1.9965
15,9,0.6,1.3885,0.8471,358.88,105519.0,0.6515,0.3485,0.8893,0.53718,1.81,1.916,450.0,1.9965
25,16,0.64,4.4476,0.3529,378.69,96401.0,0.6626,0.3374,0.85412,0.01919,1.88,2.432,450.0,1.9965
8,5,0.625,2.8472,0.5058,330.23,90934.0,0.8563,0.1437,0.64219,0.14119,2.458,2.706,450.0,1.9965
12,3,0.25,4.5571,0.1333,373.37,120249.0,0.9084,0.0916,0.57601,0.00948,1.071,1.506,300.0,2.9638
7,3,0.429,4.1594,0.2187,354.88,108341.0,0.5908,0.4092,0.43432,0.03108,2.141,2.633,450.0,1.9965
25,6,0.24,2.5859,0.8893,385.59,101570.0,0.6855,0.3145,0.91986,0.63349,2.751,2.845,450.0,1.9965
6,3,0.5,0.8944,0.8721,336.51,126003.0,0.951,0.049,0.9074,0.59206,1.446,1.413,300.0,2.9638
16,7,0.438,1.9284,0.104,371.17,94646.0,0.9033,0.0967,0.35126,0.01087,0.719,1.388,450.0,1.9965
10,6,0.6,3.0749,0.8614,363.67,128237.0,0.9924,0.0076,0.89969,0.56796,3.101,2.962,300.0,2.9638
6,2,0.333,3.4606,0.6113,374.96,102559.0,0.8771,0.1229,0.71858,0.21715,3.059,3.253,450.0,1.9965
25,7,0.28,1.8831,0.7943,334.54,125536.0,0.6966,0.3034,0.97976,0.08298,1.955,2.051,300.0,2.9638
5,2,0.4,1.3853,0.4638,370.6,114118.0,0.7953,0.2047,0.61179,0.11768,1.47,1.516,300.0,2.9638
16,10,0.625,4.3067,0.5125,369.3,123068.0,0.8305,0.1695,0.88368,0.03939,2.561,2.733,300.0,2.9638
16,8,0.5,4.9345,0.4911,369.25,129361.0,0.5392,0.4608,0.88191,0.03534,2.752,3.025,300.0,2.9638
21,6,0.286,3.0079,0.6335,372.24,101536.0,0.7722,0.2278,0.84768,0.10765,2.46,2.724,450.0,1.9965
14,4,0.286,1.5211,0.2117,377.35,128445.0,0.8547,0.1453,0.65721,0.01551,0.676,1.036,300.0,2.9638
20,12,0.6,1.9437,0.124,386.35,105579.0,0.5837,0.4163,0.56983,0.0087,0.534,1.266,450.0,1.9965
19,5,0.263,0.8772,0.3463,348.89,105420.0,0.8903,0.1097,0.52855,0.06653,1.007,1.368,450.0,1.9965
19,12,0.632,4.6401,0.6637,387.75,103615.0,0.7919,0.2081,0.82418,0.16063,3.701,3.921,450.0,1.9965
23,13,0.565,1.2946,0.2615,364.88,111656.0,0.9761,0.0239,0.69708,0.0198,0.716,1.308,450.0,1.9965
