Model,Target,MAE,RMSE,R2
Polynomial Regression (deg=2),xD_distillate_purity,0.041290651132195794,0.05918016387680948,0.8732901873982688
Polynomial Regression (deg=2),xB_bottoms_purity,0.027592166447665357,0.03546175449554551,0.9385094503821572
Polynomial Regression (deg=2),Qc_condenser_duty_kW,0.11458552314169859,0.15067693272119637,0.976207995926965
Polynomial Regression (deg=2),Qr_reboiler_duty_kW,0.09180832398130995,0.11971327450171627,0.9809142296626273
Random Forest,xD_distillate_purity,0.03414942254003078,0.058626857597970795,0.8756484637505672
Random Forest,xB_bottoms_purity,0.020532107153613737,0.032402611427712585,0.9486609340719868
Random Forest,Qc_condenser_duty_kW,0.1956861976323677,0.2595710086177136,0.9293926595765764
Random Forest,Qr_reboiler_duty_kW,0.1833255129594017,0.24901812975251594,0.91741769371173
XGBoost,xD_distillate_purity,0.03275639104337692,0.05826631206485434,0.8771732437130809
XGBoost,xB_bottoms_purity,0.024683037180035748,0.0323639968604545,0.9487832238801899
XGBoost,Qc_condenser_duty_kW,0.15735059095382695,0.21205601623029968,0.952876376174099
XGBoost,Qr_reboiler_duty_kW,0.15574146741867068,0.20888772306894113,0.9418899960126833
Support Vector Regression,xD_distillate_purity,0.13023235775757322,0.1640389799920977,0.0264639411076254
Support Vector Regression,xB_bottoms_purity,0.10079328786782277,0.1508395703931446,-0.11254736862149017
Support Vector Regression,Qc_condenser_duty_kW,0.7845107687996028,0.9772742305474668,-0.0008531909254876346
Support Vector Regression,Qr_reboiler_duty_kW,0.698296097310722,0.8617134323504138,0.011103593424508285
Gradient Boosting,xD_distillate_purity,0.027074409472096068,0.05534401477080343,0.8891848234018663
Gradient Boosting,xB_bottoms_purity,0.013595081871293244,0.022397363803810372,0.9754708925315803
Gradient Boosting,Qc_condenser_duty_kW,0.13956529990893463,0.1854319833219882,0.9639664732265915
Gradient Boosting,Qr_reboiler_duty_kW,0.1166816119890572,0.16696371018536954,0.9628747619615553
